star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 106147,HIP 106147,HD 204587,GJ 830,1,0,0,0,0,21h30m02.15s,322.508945,-12d30m34.0s,-12.509437,18.41,0.38,-0.36,9.08,0.01,1.29,0.01,K4/5V,0.14,0.07,4182,,0.65,,4.7,,,,,,
HIP 106231,HIP 106231,,GJ 4199,1,0,0,0,0,21h31m01.63s,322.756785,+23d20m08.6s,23.335734,24.8,0.77,-0.72,9.24,0.04,1.05,0.02,K8,0.19,0.1,4447,,0.65,,,,,,,,
HIP 106255,HIP 106255,,GJ 831 A,1,0,0,0,0,21h31m17.92s,322.824671,-09d47m25.9s,-9.790532,8.3,0.44,-0.4,12.01,0.01,1.66,0.01,M4e...,0.01,0.15,3106,,0.33,,,,,,,,
HD 204941,HIP 106353,HD 204941,,1,0,1,1,1,21h32m23.68s,323.098683,-20d57m25.6s,-20.957119,26.9,0.83,-0.78,8.45,0,0.88,0,K1/2V,0.32,0.07,5126,,0.74,,,,,,,,
HIP 106400,HIP 106400,HD 205434,,1,0,0,0,0,21h33m00.61s,323.252534,+62d00m07.1s,62.001979,23.24,0.47,-0.46,9.3,0.05,1.17,0.05,K,0.16,0.11,4436,,0.63,,,,,,,,
HIP 106407,HIP 106407,HD 205286,,1,0,0,0,0,21h33m08.74s,323.286398,+40d49m28.7s,40.824645,28.82,0.59,-0.57,7.75,0.02,0.84,0.02,K2,0.64,0.06,5410,,0.89,,,,,,,,
GJ 832,HIP 106440,HD 204961,GJ 832,1,1,1,1,2,21h33m34.02s,323.391734,-49d00m25.3s,-49.007018,4.95,,,8.67,0.01,1.5,0.01,M1.5V,0.03,0.09,3601,,0.41,,,,,,,,
HIP 106557,HIP 106557,,GJ 4205,1,0,0,0,0,21h34m49.91s,323.707952,+51d32m10.9s,51.536348,17.9,0.75,-0.69,11.6,0.46,1.78,0.46,M:,0.03,0.73,3549,,0.4,,,,,,,,
HIP 106559,HIP 106559,HD 205289,,1,0,0,0,0,21h34m51.07s,323.712788,-20d05m03.8s,-20.084382,27.1,0.27,-0.27,5.7,0.02,0.4,0.02,F5V,3.27,0.05,6633,,1.36,,4.14,,,,,,
HIP 106694 A,HIP 106694 A,,GJ 834 A,1,0,0,0,0,21h36m38.73s,324.161368,+39d27m21.9s,39.456093,20.93,1.1,-1,10.17,0.02,1.43,0.02,M0...,0.11,0.16,3787,,0.56,,,,,,,,
